Система нелінійних рівнянь:
  f₁(x₁,x₂) = x₁² + x₂² - 4 = 0
  f₂(x₁,x₂) = x₁·x₂ - 1 = 0

Цільова функція:
  Φ(x₁,x₂) = f₁² + f₂²

Параметри методу:
  X⁰ = (2.0, 1.0)
  ΔX = (0.1, 0.1)
  ε₁ = 1e-06
  ε₂ = 1e-06
  q = 2.0
  p = 2.0

ТРАЄКТОРІЯ СПУСКУ:
----------------------------------------------------------------------
№ кроку    x₁                   x₂                   Φ(X)                
122        1.9318516526         0.5176380902         1.23e-32            
123        1.9318516526         0.5176380902         1.23e-32            
124        1.9318516526         0.5176380902         1.23e-32            
125        1.9318516526         0.5176380902         1.23e-32            
126        1.9318516526         0.5176380902         1.23e-32            
127        1.9318516526         0.5176380902         1.23e-32            
128        1.9318516526         0.5176380902         1.23e-32            
129        1.9318516526         0.5176380902         1.23e-32            
130        1.9318516526         0.5176380902         1.23e-32            
131        1.9318516526         0.5176380902         1.23e-32            
132        1.9318516526         0.5176380902         1.23e-32            
133        1.9318516526         0.5176380902         1.23e-32            
134        1.9318516526         0.5176380902         1.23e-32            
135        1.9318516526         0.5176380902         1.23e-32            
136        1.9318516526         0.5176380902         1.23e-32            
137        1.9318516526         0.5176380902         1.23e-32            
138        1.9318516526         0.5176380902         1.23e-32            
139        1.9318516526         0.5176380902         1.23e-32            
140        1.9318516526         0.5176380902         1.23e-32            
141        1.9318516526         0.5176380902         1.23e-32            
142        1.9318516526         0.5176380902         1.23e-32            
143        1.9318516526         0.5176380902         1.23e-32            
144        1.9318516526         0.5176380902         1.23e-32            
145        1.9318516526         0.5176380902         1.23e-32            
146        1.9318516526         0.5176380902         1.23e-32            
147        1.9318516526         0.5176380902         1.23e-32            
148        1.9318516526         0.5176380902         1.23e-32            
149        1.9318516526         0.5176380902         1.23e-32            
150        1.9318516526         0.5176380902         1.23e-32            
151        1.9318516526         0.5176380902         1.23e-32            
152        1.9318516526         0.5176380902         1.23e-32            
153        1.9318516526         0.5176380902         1.23e-32            
154        1.9318516526         0.5176380902         1.23e-32            
155        1.9318516526         0.5176380902         1.23e-32            
156        1.9318516526         0.5176380902         1.23e-32            
157        1.9318516526         0.5176380902         1.23e-32            
158        1.9318516526         0.5176380902         1.23e-32            
159        1.9318516526         0.5176380902         1.23e-32            
